testCaseId,db_connection_details,query_details,where_clause_columns,where_clause_values,expected_value,polling_timeout,external_view_service_name
SONP-45598_Initial_And_Added_E_Rab_Establishment_Sr_For_QCI1_Hourly_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;initial_and_added_e_rab_establishment_sr_for_qci1_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 12:00:00',100,1,eric-tcp-traffic-forward-kpi
SONP-45597_E_RAB_Retainability_Percentage_Lost_For_QCI1_hourly_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;e_rab_retainability_percentage_lost_qci1_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144011_MOTOROLA_RACETRACK_RD,ManagedElement=144011_MOTOROLA_RACETRACK_RD,ENodeBFunction=1,EUtranCellFDD=144011_2_7'";'2020-07-06 12:00:00',3.7037037037037037,1,eric-tcp-traffic-forward-kpi
SONP-45596_E_RAB_Retainability_Percentage_Lost_PA_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;e_rab_retainability_percentage_lost_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144002_FPC_PC_SE_12_ELFERS,ManagedElement=144002_FPC_PC_SE_12_ELFERS,ENodeBFunction=1,EUtranCellFDD=144002_2'";'2020-07-06 12:00:00',0.06863417982155114,1,eric-tcp-traffic-forward-kpi
SONP-45367_Per_ENDC Den users,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;per_endc_den,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146073_CROWN_CBCO,ManagedElement=146073_CROWN_CBCO,ENodeBFunction=1,EUtranCellFDD=146073_1_2'";'2020-07-06 12:00:00',17495,1,eric-tcp-traffic-forward-kpi
SONP-45072_Percentage_ENDC_users,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;percentage_endc_users,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146096_BANK_OF_AMERICA_BOCA,ManagedElement=146096_BANK_OF_AMERICA_BOCA,ENodeBFunction=1,EUtranCellFDD=146096_2'";'2020-07-06 12:00:00',43.316369804919425,1,eric-tcp-traffic-forward-kpi
SONP-46217_ENDC_SPID115_UEs,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;endc_spid115_ues,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146073_CROWN_CBCO,ManagedElement=146073_CROWN_CBCO,ENodeBFunction=1,EUtranCellFDD=146073_3'";'2020-07-06 12:00:00',27.305555555555557,1,eric-tcp-traffic-forward-kpi
IDUN-24188_BAD_RSRP_PERCENTAGE_Q1_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;bad_rsrp_percentage_q1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 00:00:00',28.94736842105263,1,eric-tcp-traffic-forward-kpi
IDUN-24188_BAD_RSRP_PERCENTAGE_Q2_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;bad_rsrp_percentage_q2,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 00:00:00',63.38028169014085,1,eric-tcp-traffic-forward-kpi
IDUN-24188_BAD_RSRP_PERCENTAGE_Q3_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;bad_rsrp_percentage_q3,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 00:00:00',87.93103448275862,1,eric-tcp-traffic-forward-kpi
IDUN-24188_BAD_RSRP_PERCENTAGE_Q4_KPI,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;bad_rsrp_percentage_q4,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_2'";'2020-07-06 00:00:00',95.55555555555556,1,eric-tcp-traffic-forward-kpi
IDUN-24201_KPI_UL_PUSCH_SINR_HOURLY,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;ul_pusch_sinr_hourly,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144002_FPC_PC_SE_12_ELFERS,ManagedElement=144002_FPC_PC_SE_12_ELFERS,ENodeBFunction=1,EUtranCellFDD=144002_3'";'2022-06-21 00:00:00',13,1,eric-tcp-traffic-forward-kpi
